city,city_aliases,category,name,type,district,highlights,suggested_visit_time,avg_cost,best_for,notes
Beijing,beijing|bj|??,attraction,Forbidden City,palace museum,Dongcheng,"Imperial palace complex, central axis, iconic Beijing architecture",3-5 hours,60,"history,architecture,first-time visitors",Advance reservation strongly recommended
Beijing,beijing|bj|??,attraction,Temple of Heaven,historic park,Dongcheng,"Prayer Hall, ritual architecture, broad parkland",2-3 hours,34,"history,walking,photography",Morning visits also show local park life
Beijing,beijing|bj|??,attraction,Summer Palace,royal garden,Haidian,"Kunming Lake, Long Corridor, hilltop pavilions",3-4 hours,30,"gardens,walking,family",Wear comfortable shoes because the area is large
Beijing,beijing|bj|??,attraction,Badaling Great Wall,great wall,Yanqing,"Classic Great Wall section, panoramic mountain views",4-6 hours,40,"landmarks,photography,history",Include transport time in the day plan
Beijing,beijing|bj|??,attraction,Guozijian and Confucius Temple,historic complex,Dongcheng,"Red walls, scholar atmosphere, quieter cultural stop",1.5-2 hours,30,"culture,photography,light itinerary",Pairs well with nearby Yonghe Temple
Beijing,beijing|bj|??,food,Quanjude Roast Duck,roast duck restaurant,Dongcheng,Classic Beijing roast duck and formal dining experience,1-1.5 hours,150,"signature dish,family meal",Good for a representative Beijing dinner
Beijing,beijing|bj|??,food,Da Dong Roast Duck,roast duck restaurant,Chaoyang,Refined roast duck experience with modern presentation,1-1.5 hours,220,"fine dining,celebration meals",Best when budget is comfortable
Beijing,beijing|bj|??,food,Niujie Snack Area,food street,Xicheng,"Halal snacks, pastries, yogurt drinks, lamb dishes",1-2 hours,45,"snacks,local food,budget dining",Great area for tasting many Beijing snacks at once
Beijing,beijing|bj|??,food,Huguosi Snacks,snack shop,Xicheng,Traditional Beijing snacks such as douzhi and pea cake,0.5-1 hour,35,"traditional snacks,quick bite",Easy short stop between attractions
Beijing,beijing|bj|??,food,Guijie Night Dining,night food street,Dongcheng,"Late-night skewers, crayfish, and lively street energy",1-2 hours,80,"nightlife,shared meals,late supper",Best after sunset
Shanghai,shanghai|sh|??,attraction,The Bund,waterfront,Huangpu,Historic riverfront skyline and colonial-era buildings,1-2 hours,0,"night view,city walk,photography",Best around sunset and early evening
Shanghai,shanghai|sh|??,attraction,Yuyuan Garden,classical garden,Huangpu,Classic Jiangnan garden design and old city atmosphere,2-3 hours,40,"culture,architecture,photography",Easy to combine with nearby snack streets
Shanghai,shanghai|sh|??,attraction,Shanghai Museum East,museum,Pudong,"Strong bronzes, ceramics, calligraphy and painting collections",2-4 hours,0,"history,museum,rainy day backup",Allow extra time for major exhibition halls
Shanghai,shanghai|sh|??,attraction,Wukang Road and Anfu Road,historic street,Xuhui,"Plane trees, cafes, boutique shops and historic residences",2-3 hours,0,"citywalk,coffee,photography",A relaxed daytime wandering route
Shanghai,shanghai|sh|??,attraction,Lujiazui Riverside,riverfront,Pudong,Modern skyline views near Oriental Pearl and financial towers,1.5-2 hours,0,"landmarks,night view,photography",Works well as an evening finale
Shanghai,shanghai|sh|??,food,Chenghuangmiao Snack Area,food street,Huangpu,"Soup dumplings, pastries and quick Shanghai snack tasting",1-2 hours,50,"snacks,first-time visitors,flexible meals",Touristy but efficient for many snack samples
Shanghai,shanghai|sh|??,food,Jia Jia Tang Bao,xiaolongbao restaurant,Huangpu,Well-known soup dumplings with strong local reputation,0.5-1 hour,35,"xiaolongbao,budget food,quick meal",Queues are common at meal time
Shanghai,shanghai|sh|??,food,Guangmingcun Fresh Meat Mooncake,bakery,Huangpu,Popular flaky meat mooncakes and local bakery classic,0.5 hour,20,"snacks,souvenirs,local favorite",Wait times rise around holidays and weekends
Shanghai,shanghai|sh|??,food,Yunnan South Road Food Street,food street,Huangpu,Dense old-school eateries and local comfort food,1-2 hours,45,"old brands,dinner,local flavor",Good if you want several heritage restaurants nearby
Shanghai,shanghai|sh|??,food,Old Jesse Benbang Cuisine,restaurant,Xuhui,Rich local Shanghai flavors and classic home-style dishes,1-1.5 hours,120,"formal meal,local cuisine",A strong choice for a dedicated Shanghai meal
